Objects	t0	t1	t2	t3
O88	0.0	0.0	0.0	0.0
O880	-0.86	0.41	1.23	-0.77
O881	-1.22	-0.24	0.3	1.17
O882	-0.76	1.35	0.17	-0.76
O883	0.22	0.73	0.51	-1.47
O884	0.0	0.0	0.0	0.0
O885	-0.86	-0.86	0.93	0.8
O886	0.0	0.0	0.0	0.0
O887	-0.5	-0.5	-0.5	1.5
O888	0.35	0.77	0.35	-1.47
O889	-0.87	-0.87	0.87	0.86
O89	0.45	-0.02	-1.38	0.95
O890	0.0	0.0	0.0	0.0
O891	-1.36	0.62	0.86	-0.12
O892	0.0	0.0	0.0	0.0
O893	0.0	0.0	0.0	0.0
O894	-0.86	-0.86	0.73	0.99
O895	0.0	0.0	0.0	0.0
O896	0.0	0.0	0.0	0.0
O897	1.33	0.18	-0.92	-0.59
O898	0.0	0.0	0.0	0.0
O899	1.26	0.21	-1.12	-0.35
O90	1.29	0.23	-0.49	-1.03
O900	-1.18	-0.1	0.01	1.27
O901	1.5	-0.5	-0.5	-0.5
O902	-1.49	0.35	0.57	0.58
O903	1.14	0.54	-0.84	-0.84
O904	-1.37	0.07	0.27	1.03
O905	1.1	0.59	-0.85	-0.85
O906	-0.86	-0.86	0.74	0.99
O907	0.0	0.0	0.0	0.0
O908	0.98	0.58	-0.29	-1.27
O909	0.0	0.0	0.0	0.0
O91	0.0	0.0	0.0	0.0
O910	-0.5	-0.5	-0.5	1.5
O911	0.0	0.0	0.0	0.0
O912	-1.4	0.16	0.27	0.97
O913	-1.42	0.05	0.52	0.85
O914	-0.5	-0.5	-0.5	1.5
O915	0.45	0.94	-0.01	-1.38
O916	0.92	0.82	-0.87	-0.87
O917	0.98	0.74	-0.86	-0.86
O918	0.69	0.83	-0.17	-1.34
O919	0.97	0.76	-0.86	-0.86
O92	-0.06	1.04	0.35	-1.34
O920	0.0	0.0	0.0	0.0
O921	0.0	0.0	0.0	0.0
O922	0.0	0.0	0.0	0.0
O923	-0.87	-0.87	0.82	0.91
O924	0.79	0.69	-0.11	-1.37
O925	1.07	0.59	-0.58	-1.08
O926	-0.5	-0.5	-0.5	1.5
O927	-0.5	1.5	-0.5	-0.5
O928	1.24	0.32	-0.53	-1.03
O929	1.5	-0.5	-0.5	-0.5
O93	1.5	-0.5	-0.5	-0.5
O930	0.0	0.0	0.0	0.0
O931	-1.3	-0.27	0.73	0.84
O932	1.03	0.68	-0.86	-0.86
O933	-0.86	-0.86	0.79	0.94
O934	0.89	0.84	-0.87	-0.87
O935	0.82	0.91	-0.87	-0.87
O936	-1.47	0.41	0.76	0.31
O937	0.54	-1.49	0.38	0.58
O938	-1.42	0.77	0.62	0.04
O939	1.5	-0.5	-0.5	-0.5
O94	1.5	-0.5	-0.5	-0.5
O940	0.43	0.38	0.67	-1.49
O941	0.0	0.0	0.0	0.0
O942	-0.5	-0.5	1.5	-0.5
O943	0.23	-1.46	0.48	0.76
O944	-0.5	1.5	-0.5	-0.5
O945	1.06	0.65	-0.85	-0.85
O946	-1.29	-0.24	0.55	0.98
O947	0.0	0.0	0.0	0.0
O948	1.25	-1.01	0.31	-0.56
O949	-0.5	-0.5	-0.5	1.5
O95	-0.86	-0.86	0.71	1.01
O950	0.85	-0.87	-0.87	0.88
O951	-1.14	0.73	-0.53	0.94
O952	0.0	0.0	0.0	0.0
O953	1.11	0.58	-0.85	-0.85
O954	-0.53	1.05	0.61	-1.12
O955	-1.45	0.5	0.8	0.14
O956	1.31	0.25	-0.89	-0.66
O957	0.0	0.0	0.0	0.0
O958	0.0	0.0	0.0	0.0
O959	-0.5	-0.5	1.5	-0.5
O96	1.42	-0.22	-0.28	-0.92
O960	0.05	-0.96	1.37	-0.45
O961	0.7	0.41	0.37	-1.48
O962	-1.25	-0.34	0.95	0.65
O963	0.0	0.0	0.0	0.0
O964	0.93	0.8	-0.86	-0.86
O965	0.0	0.0	0.0	0.0
O966	0.0	0.0	0.0	0.0
O967	-1.43	0.08	0.54	0.82
O968	1.12	0.56	-0.71	-0.97
O969	-0.85	0.58	1.11	-0.85
O97	0.96	0.76	-0.86	-0.86
O970	1.5	-0.5	-0.5	-0.5
O971	1.38	-1.02	-0.13	-0.23
O972	0.86	0.87	-0.87	-0.87
O973	-0.8	1.28	0.32	-0.8
O974	1.04	0.66	-0.73	-0.98
O975	-1.45	0.41	0.19	0.84
O976	0.0	0.0	0.0	0.0
O977	-0.5	-0.5	-0.5	1.5
O978	-0.5	-0.5	-0.5	1.5
O979	-0.5	-0.5	1.5	-0.5
O98	0.92	0.35	0.15	-1.42
O980	-0.86	-0.86	0.69	1.03
O981	-1.13	-0.55	0.91	0.77
O982	1.06	0.65	-0.85	-0.85
O983	1.0	0.72	-0.86	-0.86
O984	1.0	0.71	-0.86	-0.86
O985	-0.86	1.0	-0.86	0.72
O986	0.98	0.74	-0.86	-0.86
